post_freq,Probability,SE,CI_low,CI_high
0,0.19021764283531187,0.009710198676706411,0.16645340253941757,0.2164934680655573
0.03539594867211561,0.18991979609355517,0.009679942112998522,0.16622832757271525,0.21611264984592596
0.07079189734423122,0.1896223065180267,0.009649950261641345,0.16600299216968842,0.215732933185232
0.10618784601634683,0.18932517402247392,0.00962022360258575,0.1657773949906521,0.21535431927921103
0.14158379468846244,0.18902839851951633,0.009590762604377802,0.16555153472301115,0.21497680929131163
0.17697974336057803,0.18873197992064825,0.00956156772387131,0.16532541008200607,0.2146004043519681
0.21237569203269366,0.18843591813624255,0.009532639405939493,0.16509901981146105,0.21422510555787097
0.24777164070480928,0.18814021307555348,0.009503978083185823,0.16487236268453398,0.21385091397123557
0.2831675893769249,0.1878448646467202,0.009475584175654354,0.16464543750446792,0.21347783061906928
0.3185635380490405,0.18754987275676985,0.009447458090539611,0.16441824310534373,0.21310585649243724
0.35395948672115607,0.18725523731162083,0.00941960022189627,0.16419077835283327,0.21273499254572822
0.3893554353932717,0.18696095821608602,0.00939201095034881,0.1639630421449524,0.2123652396959201
0.4247513840653873,0.18666703537387622,0.009364690642801357,0.16373503341281379,0.21199659882184593
0.4601473327375029,0.18637346868760304,0.009337639652147867,0.16350675112137872,0.2116290707634604
0.49554328140961856,0.1860802580587824,0.009310858316982876,0.16327819427020748,0.21126265632110877
0.5309392300817342,0.18578740338783784,0.009284346961313068,0.16304936189420766,0.2108973562547971
0.5663351787538498,0.1854949045741035,0.009258105894269777,0.16282025306437978,0.21053317128346555
0.6017311274259654,0.18520276151582757,0.00923213540982274,0.1625908668885602,0.21017010208426387
0.637127076098081,0.1849109741101754,0.00920643578649524,0.1623612025121601,0.20980814929183184
0.6725230247701965,0.18461954225323302,0.009181007287080918,0.16213125911890003,0.2094473134975831
0.7079189734423121,0.18432846584001003,0.009155850158362445,0.16190103593154026,0.20908759524899406
0.7433149221144278,0.1840377447644431,0.00913096463083229,0.16167053221260502,0.20872899504889814
0.7787108707865434,0.18374737891939916,0.009106350918415844,0.16143974726510116,0.20837151335478643
0.814106819458659,0.18345736819667857,0.009082009218197075,0.16120868043323014,0.20801515057811418
0.8495027681307746,0.18316771248701852,0.009057939710147017,0.16097733110309262,0.2076599070836156
0.8848987168028902,0.18287841168009614,0.009034142556855293,0.16074569870338568,0.2073057831886252
0.9202946654750058,0.18258946566453188,0.009010617903264906,0.16051378270609082,0.2069527791624091
0.9556906141471214,0.18230087432789274,0.00898736587641059,0.16028158262715364,0.20660089522550393
0.9910865628192371,0.18201263755669536,0.008964386585160886,0.16004909802715353,0.20625013154906657
1.0264825114913527,0.18172475523640952,0.00894168011996426,0.15981632851196276,0.20590048825423374
1.0618784601634683,0.1814372272514612,0.008919246552599468,0.15958327373339515,0.20555196541149248
1.097274408835584,0.18115005348523602,0.008897085935930454,0.15934993338984274,0.20520456304006235
1.1326703575076995,0.18086323382008235,0.008875198303665916,0.1591163072269003,0.2048582811072903
1.168066306179815,0.18057676813731452,0.00885358367012397,0.1588823950379772,0.2045131195280575
1.2034622548519307,0.1802906563172163,0.008832242030001974,0.15864819666489552,0.20416907816420038
1.2388582035240463,0.18000489823904398,0.008811173358151847,0.1584137119984744,0.20382615682394556
1.274254152196162,0.17971949378102964,0.008790377609361143,0.1581789409790992,0.20348435526135927
1.3096501008682775,0.17943444282038445,0.008769854718140034,0.15794388359727587,0.20314367317581278
1.345046049540393,0.1791497452333019,0.008749604598514526,0.15770853989416878,0.202804110211463
1.3804419982125087,0.17886540089496114,0.008729627143826094,0.15747290996212251,0.20246566595675
1.4158379468846243,0.17858140967953004,0.008709922226537983,0.1572369939451664,0.2021283399439119
1.45123389555674,0.1782977714601687,0.0086904896980484,0.15700079203950099,0.20179213164851706
1.4866298442288557,0.17801448610903242,0.008671329388510812,0.1567643044939664,0.2014570404890148
1.5220257929009713,0.1777315534972753,0.008652441106661609,0.15652753161049213,0.20112306582630546
1.5574217415730869,0.1774489734950532,0.008633824639655282,0.15629047374452687,0.20079020696332864
1.5928176902452025,0.17716674597152707,0.008615479752907388,0.1560531313054487,0.20045846314467305
1.628213638917318,0.17688487079486628,0.008597406189945492,0.1558155047569546,0.20012783355620556
1.6636095875894337,0.17660334783225187,0.008579603672268246,0.15557759461742912,0.19979831732472186
1.6990055362615493,0.17632217694987964,0.008562071899212868,0.1553394014602912,0.19946991351761886
1.7344014849336649,0.17604135801296367,0.008544810547831159,0.1551009259143195,0.19914262114258827
1.7697974336057805,0.17576089088573937,0.008527819272774233,0.15486216866395472,0.19881643914733377
1.805193382277896,0.1754807754314667,0.008511097706186188,0.15462313044957932,0.19849136641931
1.8405893309500116,0.1752010115124336,0.008494645457606836,0.1543838120677737,0.1981674017854858
1.8759852796221272,0.1749215989899592,0.008478462113883653,0.154144214371549,0.19784454401213067
1.9113812282942428,0.17464253772439695,0.008462547239093138,0.15390433827055502,0.1975227918046255
1.9467771769663584,0.17436382757513783,0.008446900374471673,0.15366418473126467,0.19720214380729786
1.9821731256384743,0.17408546840061398,0.008431521038356074,0.15342375477713235,0.19688259860328225
2.0175690743105896,0.17380746005830142,0.008416408726133879,0.15318304948872835,0.19656415471440514
2.0529650229827054,0.17352980240472365,0.0084015629102036,0.15294207000384674,0.19624681060109614
2.088360971654821,0.17325249529545483,0.008386983039944932,0.1527008175175882,0.1959305646623242
2.1237569203269366,0.17297553858512296,0.008372668541699086,0.15245929328241672,0.1956154152355602
2.159152868999052,0.1726989321274131,0.00835861881875931,0.15221749860818973,0.19530136059676578
2.194548817671168,0.17242267577507076,0.008344833251371685,0.15197543486216217,0.1949883989604085
2.229944766343283,0.17214676937990497,0.00833131119674624,0.151733103468964,0.1946765284795034
2.265340715015399,0.17187121279279166,0.008318051989078467,0.15149050591055058,0.19436574724568167
2.300736663687515,0.17159600586367682,0.008305054939581264,0.15124764372612678,0.19405605328928582
2.33613261235963,0.1713211484415797,0.00829231933652736,0.15100451851204358,0.19374744457949192
2.371528561031746,0.1710466403745962,0.008279844445302205,0.15076113192166812,0.1934399190244588
2.4069245097038614,0.1707724815099019,0.008267629508467393,0.15051748566522638,0.19313347447150442
2.4423204583759772,0.17049867169375552,0.008255673745834568,0.15027358150961934,0.19282810870730885
2.4777164070480926,0.1702252107715019,0.008243976354549836,0.15002942127821145,0.1925238194581447
2.5131123557202084,0.1699520985875755,0.008232536509188662,0.14978500685059257,0.19222060439013422
2.548508304392324,0.16967933498550347,0.008221353361861174,0.14954034016231332,0.1919184611095333
2.5839042530644396,0.16940691980790884,0.008210426042327903,0.14929542320459296,0.1916173871630424
2.619300201736555,0.1691348528965139,0.008199753658125844,0.1490502580240013,0.19131738003814355
2.654696150408671,0.16886313409214318,0.008189335294704793,0.1488048467221137,0.19101843716346448
2.690092099080786,0.16859176323472705,0.00817917001557391,0.14855919145514046,0.1907205559091685
2.725488047752902,0.16832074016330462,0.008169256862458358,0.14831329443352945,0.19042373358737036
2.7608839964250174,0.16805006471602704,0.008159594855465989,0.1480671579215434,0.19012796745257832
2.796279945097133,0.16777973673016078,0.008150182993263916,0.14782078423681186,0.189833254702161
2.8316758937692486,0.1675097560420908,0.00814102025326487,0.14757417574985746,0.18953959247684007
2.8670718424413644,0.16724012248732387,0.008132105591823226,0.14732733488359798,0.18924697786120728
2.90246779111348,0.16697083590049158,0.00812343794444054,0.14708026411282343,0.18895540788426607
2.9378637397855956,0.16670189611535371,0.008115016225980421,0.14683296596364942,0.18866487951999733
2.9732596884577114,0.16643330296480144,0.008106839330892662,0.1465854430129464,0.18837538968794887
3.0086556371298268,0.16616505628086045,0.008098906133446356,0.1463376978877464,0.18808693525384781
3.0440515858019426,0.1658971558946942,0.008091215487971894,0.14608973326462613,0.18779951303023604
3.079447534474058,0.16562960163660717,0.008083766229111632,0.14584155186906847,0.18751311977712778
3.1148434831461738,0.16536239333604807,0.008076557172079023,0.14559315647480203,0.18722775220268903
3.150239431818289,0.1650955308216129,0.008069587112926001,0.14534454990311885,0.18694340696393824
3.185635380490405,0.1648290139210483,0.008062854828818475,0.14509573502217257,0.18666008066746728
3.2210313291625203,0.16456284246125463,0.008056359078319593,0.14484671474625527,0.18637776987018334
3.256427277834636,0.16429701626828933,0.008050098601680654,0.14459749203505545,0.18609647108006974
3.2918232265067515,0.1640315351673699,0.008044072121139388,0.1443480698928969,0.1858161807569657
3.3272191751788673,0.1637663989828773,0.008038278341225367,0.14409845136795899,0.1855368953133648
3.3626151238509827,0.1635016075383589,0.008032715949072308,0.14384863955147986,0.1852586111152307
3.3980110725230985,0.163237160656532,0.008027383614736998,0.14359863757694177,0.18498132448283028
3.4334070211952143,0.16297305815928664,0.008022279991524607,0.14334844861924068,0.18470503169158273
3.4688029698673297,0.16270929986768906,0.00801740371632012,0.14309807589383988,0.18442972897292473
3.504198918539445,0.1624458856019848,0.008012753409925603,0.14284752265590864,0.1841554125151905
